surah,canonical_ayah_count,kazimirski_declared_count,kazimirski_actual_li_count,flugel_offset_indicator,direct_1_1,offset_only,one_to_many_YN,many_to_one_YN,ambiguous_YN,manual_review_required,A,B,C,D,F,uncovered_canonical_ayahs,muqattaat,verification_level
86,17,17,17,NO,YES,NO,NO,NO,NO,NO,17,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
87,19,19,19,NO,YES,NO,NO,NO,NO,NO,19,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
88,26,26,26,NO,YES,NO,NO,NO,NO,NO,26,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
89,30,30,30,NO,NO,NO,YES,YES,NO,YES,5,19,2,4,0,0,NO,CONCORDANCE-DERIVED-ONLY
90,20,20,20,NO,YES,NO,NO,NO,NO,NO,20,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
91,15,15,15,NO,YES,NO,NO,NO,NO,NO,15,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
92,21,21,21,NO,YES,NO,NO,NO,NO,NO,21,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
93,11,11,11,NO,YES,NO,NO,NO,NO,NO,11,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
94,8,8,8,NO,YES,NO,NO,NO,NO,NO,8,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
95,8,8,8,NO,YES,NO,NO,NO,NO,NO,8,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
96,19,19,19,NO,YES,NO,NO,NO,NO,NO,19,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
97,5,5,5,NO,YES,NO,NO,NO,NO,NO,5,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
98,8,8,8,NO,NO,NO,YES,YES,NO,YES,1,4,1,2,0,0,NO,CONCORDANCE-DERIVED-ONLY
99,8,8,8,NO,YES,NO,NO,NO,NO,NO,8,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
100,11,11,11,NO,YES,NO,NO,NO,NO,NO,11,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
101,11,8,8,YES,NO,NO,YES,NO,NO,YES,0,5,3,0,0,0,NO,FULL-TEXT-SAMPLE-VERIFIED
102,8,8,8,NO,YES,NO,NO,NO,NO,NO,8,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
103,3,3,3,NO,YES,NO,NO,NO,NO,NO,3,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
104,9,9,9,NO,YES,NO,NO,NO,NO,NO,9,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
105,5,5,5,NO,YES,NO,NO,NO,NO,NO,5,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
106,4,4,4,NO,NO,NO,YES,YES,NO,YES,2,0,1,1,0,0,NO,CONCORDANCE-DERIVED-ONLY
107,7,7,7,NO,YES,NO,NO,NO,NO,NO,7,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
108,3,3,3,NO,YES,NO,NO,NO,NO,NO,3,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
109,6,6,6,NO,YES,NO,NO,NO,NO,NO,6,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
110,3,3,3,NO,YES,NO,NO,NO,NO,NO,3,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
111,5,5,5,NO,YES,NO,NO,NO,NO,NO,5,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
112,4,4,4,NO,YES,NO,NO,NO,NO,NO,4,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
113,5,5,5,NO,YES,NO,NO,NO,NO,NO,5,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
114,6,6,6,NO,YES,NO,NO,NO,NO,NO,6,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
